CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
False,FLORENTINO,Daniela F,9130793,P-04-00943,Fishing Vessel,Purse seine,Ecuador,HC5240,735058912,3722.000,3706,107.500,199704,10.080,"Group Tomas A. Alonso 100, Apartado 35, 36208 Vigo (Pontevedra), H. J. Barreras, Spain","IMPORTEQ, S.A.",,In Service/commission,,,,,,,2007-12-07 - 2009-12-11,,,,,,,,,,,,,,,,,,,,,
False,FONG KUO NO. 819,Seed Leaf,8913992,42061-10-B,"Cargo vessel, Fish carrier",,Panama,3FCY3,370070000,5131.000,6523,115.000,199101,10.100,"Kitanihon Zosen K.K., Japan",F.K. OVERSEAS CORP.,FK Overseas Co Ltd,In Service/commission,,,,,,,,,2006-11-03 - 2008-11-07,Undocumented transhipment,2007-10-31 - 2008-11-07,,,,,,,,,,,,,,,,,
True,FU HSIANG FA 18,,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 01,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 02,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 06,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 08,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 09,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 11,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 13,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 17,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 20,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 21,,,,,,,,,,,,,,,,,,2014-06-05 - ,Vessel not on the IOTC register,2013-06-04 - ,From IOTC,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
True,FU HSIANG FA NO. 23,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area with authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 26,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 30,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU LIEN NO. 1,Fu Lien No 1,7355662,,Fishing Vessel,,,,,305.000,370,46.940,1973,3.540,"Busan, 1973 Daedong Shipbuilding Co Ltd - Busan Yard/hull No.: 110",Fu Lien Fishery Co Ltd,Fu Lien Fishery Co Ltd,Continued Existence In Doubt,,,2013-03-14 - ,,,,2010-12-10 - ,"harvested species covered by the WCPFC Convention in the Convention Area (CMM 2007- 03, para 3h)",,,,,,,,,,,,,,,2014-05 - ,,,,,
True,FULL RICH,Full Rich,,,Fishing Vessel,Longline,Unknown,HMEK3,,527.000,,43.390,,,,Noel International Ltd.,Noel International Ltd.,,2013-05-31 - ,Operating in the IOTC area without authorisation,2013-06-04 - ,From IOTC,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,GILONTAS NO. 318,Maya 31,8977601,34605-09-A,,Longline,Panama,,,101.000,,,200200,2.000,"Shing Sheng Fa Boat Building Co., Chinese Taipei",GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",In Service/commission,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 328,Maya 32,8977613,34458-08-A,,Longline,Panama,HO4958,,101.000,,27.000,200200,2.000,"Shing Sheng Fa Boat Building Co., Chinese Taipei",GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",In Service/commission,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 380,Maya 1,,34714-09-A,Fishing Vessel,Longline,Panama,,,79.000,,27.000,2000,2.000,Taiwan,GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 381,Maya 2,,34539-09-A,Fishing Vessel,Longline,Panama,HO4972,,79.000,,27.000,2000,2.000,Taiwan,,"Codatlan, S.A.",,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 382,Maya 11,,34488-08-A,Fishing Vessel,Longline,Panama,,,79.000,,27.000,2000,2.000,Taiwan,GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 385,Maya 12,,34631-09-A,Fishing Vessel,Longline,Panama,,,79.000,,27.000,2000,2.000,Taiwan,GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 387,Maya 22,,34466-08-A,Fishing Vessel,Longline,Panama,HO4969,,79.000,,27.000,2001,2.000,Taiwan,GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 388,Maya 61,,34663-09-A,Fishing Vessel,Longline,Panama,HO4973,,79.000,,27.000,2002,2.000,"Shing Sheng Fa Boat Building Co., Ltd., Taiwan",GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GILONTAS NO. 389,Maya 62,,34530-08-A,Fishing Vessel,Longline,Panama,,,79.000,,27.000,2002,2.000,"Shing Sheng Fa Boat Building Co., Ltd., Taiwan",GILONTAS OCEAN PANAMA S.A.,"Codatlan, S.A.",,,,,,2005-12-26 - 2007-06-29,,,,,,,,,,,,,,,,,,,,,,,
False,GLORIOUS HARMONY,Ocean Liberty,7806702,,Fishing Vessel,Purse seine,Equatorial Guinea,,,2669.000,1756,85.100,197902,9.200,"Stocznia Polnocna SA (Northern Shipyard), Poland",Interocean TSM Holdings Pte Ltd,International Fishing Corp Pte Ltd,Broken Up,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
True,GOIDAU RUEY NO.1,Goidau Ruey No.1,,,,,Unknown,HO2508,,99.000,,25.520,,2.000,,"Goidau Ruey Industrial, S.A.",,,,,2013-08-20 - ,from IATTC,2009-06-06 - ,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
True,GOOD HOPE,Good Hope,7020126,SR1185,Platform Supply Ship,,Nigeria,5NMU,657379000,580.000,945,50.300,197000,4.580,"Mangone Swiftships Inc., United States Of America",Port Plus Ltd,Port Plus Ltd,In Service/commission,,,,,,,,,2007-11-02 - ,,2007-11-02 - ,,,,,,,,,,,,2014-05 - ,,,,,
True,GORILERO,Gorilero,6719419,,Fishing Vessel,,Unknown,,,362.000,,38.310,196706,3.970,"Appledore Shipbuilders Ltd. - Appledore Yard/hull No.: A.S. 33, United Kingdom",Trianon Business SA,Trianon Business SA,In Service/commission,,,,,,,,,,,2007-10-31 - ,,,,2004-12-20 - ,,2007-02-18 - ,,,,,,2014-05 - ,,,,,
True,GUNUAR MELYAN 21,Gunuar Melyan 21,,,,,,,,,,,,,,,,,2008-06-11 - ,IOTC Contravention of IOTC Resolution 07/02,2009 - ,IOTC Contravention of IOTC Resolution 07/02,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
True,HAI FA,HAI FA,7818561,3498510,Cargo vessel,,Panama,3EAY,371295000,3830.000,4258,107.000,197811,9.400,"Kanasashi Zosen, Shizuoka, Japan",Hai Yi Shipping Ltd,Greatsources Shipping Consultants Ltd,Broken Up,,,,,,,,,,,,,2015-09-09 - ,"Illegal import and export of goods China to Indonesia, illegal transport of CITES-listed species, deactivated VMS and AIS",,,,,,,,,,,,,,
True,HAI LUNG,YELE,6607666,,Fishing Vessel,,,PQBT,535096772,866.000,1145,49.000,196600,4.810,"Barreras S.A., Hijos De J., Spain",Rptd Sold Undisclosed Interest,Etterna Ship Management,In Service/commission,,,,,,,,,2006-11-03 - ,Fishing inside Division 58.4.3b; 58.4.3b; 58.4.2; 58.4.3b,2007-10-31 - ,,,,2014-06-17 - ,Fishing inside Division A (SEAFO) 2012,,,,,,,2014-05 - ,,,,,
True,HEAVY SEA,Heavy Sea,7322926,34304PEXT4,Fishing Vessel,,Panama,3ENF8,,599.000,492,55.300,197306,3.890,"Kanasashi Heavy Industries Co Ltd (Shimizu, Shizuoka , Japan), Japan",Barroso Fish SA,Barroso Fish SA,In Service/commission,,,,,,,,,2004-11-05 - ,Inside Division 58.5.1; 58.5.1,2007-10-31 - ,,,,,,,,,,,,2014-05 - ,,,,,
False,HIROYOSHI - 17,Hiroyoshi 17,,171 No. 1718/Bc,Reefer,,Indonesia,YEA5515,,171.000,,33.570,,,,"INTIMAS SURYA, PT.",SUHARDI,,,,2011-08-30 - 2012-06-21,,2005-12-26 - 2012-06-21,,,,,,,,,,,,,,,,,,,,,,,
True,HONOR,WISDOM SEA REEFER,7637527,MD-M-18-1011,Cargo vessel,,Moldova,ER2687,214182687,2989.000,3771,101.940,197709,8.010,Netherlands,Marine Honor SA,Virgin Fishing Company,In Service/commission,2018-05 - ,Contravention of IOTC Resolution 17/03,,,,,,,,,,,,,,,,,,,,,,,,,,
True,HOOM XIANG 101,Hoom Xiang 101,,,Fishing Vessel,Longline,Unknown,,,,,23.500,,,,Unknown,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,HOOM XIANG 103,Hoom Xiang 103,,,Fishing Vessel,Longline,Unknown,,,,,24.200,,,,Unknown,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,HOOM XIANG 105,Hoom Xiang 105,,,Fishing Vessel,Longline,Unknown,,,,,25.800,,,,Unknown,,,2014-06-12 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,HOOM XIANG 11,Hoom Xiang 11,,,Fishing Vessel,Longline,Unknown,,,,,27.100,,,,,,,2010-03-05 - ,Contravention of IOTC Resolution 09/03,2011-08-30 - ,,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,HSIN CHI WANG NO. 8,Hsin Chi Wang No. 8,8994300,,Fishing Vessel,,Unknown,,,125.000,,29.700,200112,2.150,"Jin Jiahn Lih Shipbuilding Co., Ltd., Chinese Taipei",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HSIN TSAN NO. 2,Hsin Tsan No. 2,,,,,Belize,V3VK8,,98.000,,25.500,2002,2.120,Chien Renn Shipbuilding Co. Ltd,,,Sunk,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
True,HUA LI 8,HUA LI 8,8779774,"(ZHE)CHUAN  DENG (JI)(2017)FT-200212 HAO, 3309000Y14642",Fishing Vessel,"Pole and line, Handline",China,BZU7N,412420941,1275.000,,65.020,201412,6.950,"China, People's Republic Of, ZHOU SHAN",Zhoushan Huali Ocean Fisheries Co Ltd,Zhoushan Huali Ocean Fisheries Co Ltd,In Service/Commission,,,,,,,,,,,,,2016-04-04 - ,Illegal fishing in the EEZ of Argentina,,,,,,,,,,,,,,
False,HUNG CHI FU,Talamanca,2597590,280010057,Fishing Vessel,Longline,Belize,V3HD2,312120000,80.000,,27.600,200004,2.000,"Chien Renn Shipbuilding Co. Ltd, Chinese Taipei",Transportes El Pescador SA,Transportes El Pescador SA,In Service/Commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG CHI FU 12,Yuh Shan,,,,,Unknown,,,80.000,,26.100,2002,1.900,Chien Renn Shipbuilding Co. Ltd,,"Yuh Shan Fishery Co., Ltd",,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG CHI FU 3,Yu Long 27,,,,,Unknown,,,55.000,,22.100,2002,1.700,"Jin Jiahn Lih Shipbuilding Co., Ltd.",,Pesca Tuna SA,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG CHI FU 33,Yu Long 68,2699843,020210155,Fishing Vessel,Longline,Belize,V3ZW6,,95.000,0,22.800,199909,3.500,"Tecnonaval SA, Tecnonaval S.A., Costa Rica","Pesca Tuna SA, Transportes El Pescador SA","Pesca Tuna SA, Transportes El Pescador SA",In Service/Commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG CHI FU 35,Reymar No. 1,,,Fishing Vessel,Longline,Costa Rica,,,99.000,,,2001,2.000,Chien Renn Shipbuilding Co. Ltd,Hung Chuan Wang Shih / Astilleros Mariscos del Pacifico SA,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG CHI FU 68,Reymar No. 2,,,Fishing Vessel,Longline,Thailand,HSN5658,567000445,,,30.300,2002,2.100,Chien Renn Shipbuilding Co. Ltd,Shealth Services (Thailand) Co Ltd,Shealth Services (Thailand) Co Ltd,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG CHI FU NO. 16,Yu Long No. 21,,,,,Mexico,V3WC7,,55.000,,22.100,2002,1.700,"Jin Jiahn Lih Shipbuilding Co., Ltd.",,Pesca Tuna SA,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG CHI FU NO. 27,Yu Long 37,2700642,280210128,Fishing Vessel,Longline,Belize,V3TF9,,55.000,,18.300,200205,1.700,"Jin Jiahn Lih Shipbuilding Co., Ltd., Chinese Taipei",Pesca Tuna SA,Pesca Tuna SA,In Service/Commission,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,HUNG JIE WEI NO. 2,Conchita VIII,,,,,Unknown,,,79.000,,27.800,2002,2.000,Shing Sheng Fa Boatbuilding Co. Ltd,,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
True,IANNIS I,Iannis I,7332218,3035304,Fishing Vessel,,Panama,HO3374,,320.000,,37.390,197409,3.920,"Ast. de Santander S.A. - Santander Yard/hull No.: 84, Spain",Iannis Corp,Iannis Corp,Total Loss,,,,,,,,,,,2007-10-31 - ,,,,2004-04-04 - ,040404 In port in Spain. Inspection: No Regulated Resources onboard. 210504 OBS by EU fishing in the NEAFC Regulatory Area,2007-02-18 - ,,,,,,2014-05 - ,,,,,
False,IN SUNG NO. 7,East Ocean,9230660,0912001-6261107,Fishing Vessel,,South Korea,DTBX4,,647.000,,54.550,200102,3.650,"Lien Cherng Shipbuilding Co., Ltd. (Kaohsiung , China, Republic Of (Taiwan))",Insung Corp,Insung Corp,Broken Up,,,,,,,,,2004-11-05 - 2008-11-07,Fishing inside Division 58.4.3; 58.4.1; 58.4.3b; 58.4.3b; Inside division 58.4.3b,2007-10-31 - 2008-10-07,,,,,,,,,,,,,,,,,
False,ISABELLA,Isabella,8422838,M-01038,Fishing Vessel,,,,,1898.000,690,62.260,198409,9.220,"VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 654, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2002-04-18 - 2009-11-13,,2006-09-22 - 2009-11-13,"NAFO Div. 1F, 31.07.2006",,,,,,,,,,
True,ITZIAR II,Itziar II,6803961,,Fishing Vessel,,,5NTV3,,631.000,587,58.980,196800,4.750,"Alto Adriatico S.P.A., Cantieri Dell' (Trieste , Italy), Italy",Monteco Shipping Corp,Monteco Shipping Corp,Total Loss,,,,,,,,,2003-11-07 - 2017,Inside Division 58.5.1; Fishing inside Division 58.5.1; Inside Division 58.4.3b; 58.4.3b; 58.4.3b; 58.4.3b; Fishing inside Division 58.4.3,2007-10-31 - ,,,,,,,,,,,,2014-05 - ,,,,,
False,JIMMY WIJAYA XXXV,Jimmy Wijaya XXXV,,115 No.937/Bc,Fishing Vessel,Longline,Indonesia,YE4683,,115.000,,25.680,,,,FARIDA,FARIDA,,,,2011-08-30 - 2012,,2005-12-26 - 2012,,,,,,,,,,,,,,,,,,,,,,,
False,JIN SHYANG YIH 668,Jin Shyang Yih 666,,58 00 0147 1,Fishing Vessel,Longline,,HSN6022,312028000,99.000,,29.300,2001,,Chien Renn Shipbuilding Co Ltd,"JIN SHYANG YIH FISHERY CO.,LTD.","JIN SHYANG YIH FISHERY CO.,LTD.",,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,JINN FENG TSAIR NO. 1,Jinn Feng Tsair No. 1,,CT4-2444,Fishing Vessel,Longline,Taiwan,BJ4444,,54.820,,22.000,1995,1.720,Chinese Taipei,"JHENG, ZONG-SIN",,,,,,,,,2007-12-07 - 2013-02-06,"Fishing in the Exclusive Economic Zone of the Federated States of Micronesia without permission and in contravention of Federated States of Micronesia’s laws and regulations. (CMM 2007-03, para 3b)",,,,,,,,,,,,,,,,,,,,
False,JOSELITO,Mar Cantabrico,,P-04-00996,Fishing Vessel,Purse seine,Ecuador,HC5759,,277.000,,32.910,1982,4.870,Marco Marine,Grupo Degfer CIA LTDA,,,,,2011-08-30 - 2012-06-21,,2011-07-01 - 2012-06-21,Fished during a closure in 2010,,,,,,,,,,,,,,,,,,,,,,
False,JUANITA,Juanita,8522042,M-01035,Fishing Vessel,,Cyprus,4LSM,,1898.000,690,62.260,198503,9.220,"Volkswerft Stralsund - Stralsund Yard/hull No.: 670, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2004-10-04 - 2009-11-13,,2006-09-22 - 2009-11-13,NAFO Div. 1F,,,,,,,,,,
True,JYI LIH 88,Jyi Lih 88,,,,,,,,,,,,,,,,,,,2013-08-20 - ,From IATTC,2005-12-26 - ,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,KABOU,Red,6706084,35400LP,Fishing Vessel,,Unknown,3EJI3,,1490.000,1330,74.000,196700,7.400,"Hijos de J. Barreras S.A. - Vigo Yard/hull No.: 1355, Spain",Star Maritime Corp,"Empresa de Pesca Joao Maria Vilarinho, Sucessores, Sarl",Broken Up,,,,,,,,,,,2007-10-31 - 2012-11-14,,,,2006-07-21 - 2012-11-14,Surveillance flight. First observation by NOR FIS in RA SCH 06/34,2007-02-18 - 2012-11-14,,,,,,,,,,,
True,KIM SENG DENG 3,Kim Seng Deng 3,,,,,Bolivia,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,KING JESUS,KING JESUS,,,Fishing Vessel,Lines unspecified,India,,,,,,,,,,Bibi S. R. Paul Miranda S.,,2017-05 - ,Fishing without a license in the waters of the UK (OT),2017-07-15 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,KM. ANEKA 228,KM. Aneka 228,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,KOOSHA 4,Koosha 4,7905443,,Cargo vessel,,Iran,9BQK,422734000,2359.000,2536,87.760,198005,7.420,Spain,Parspaya Seyd Co.,Parspaya Seyd Co.,In Service/commission,,,,,,,,,2011-11-01 - ,Inside Division 58.5.1 January and February 2011,2011-11-01 - ,follows CCAMLR,,,,,,,,,,,2014-05 - ,,,,,
True,KUANG HSING 127,Kuang Hsing 127,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,KUANG HSING 196,Kuang Hsing 196,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,LABIKO 2,LABIKO,7325746,,,"Gillnets, Longline",Liberia,3XGU,,582.000,411,54.260,197300,,"A1973 Stocznia im Komuny Paryskiej - Gdynia Yard/hull No.: B423/16, Poland",Diakhate Djibnil,,In Service/commission,,,,,,,,,,,2007-10-31 - ,,,,2007-10-29 - ,,2008-08-04 - ,,,,,,2014-05 - ,,,,,
False,LE MALIN,Apache I,9142693,,Diving Support Vessel,,France,,,1146.000,620,49.990,,7.500,"West Contractors AS - Olensvaag Yard/hull No.: B12, Poland",Marine Nationale - Direction des Travaux Maritimes,Marine Nationale - Direction des Travaux Maritimes,In Service/commission,,,,,,,,,2004-11-05 - 2007-11-02,Fishing Division 58.5.1 Apprehended,2007-10-31 - 2007-11-02,,,,,,,,,,,,,,,,,
True,LIAO YUAN YU 071,,,,Fishing Vessel,Lift nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07 - ,,,
True,LIAO YUAN YU 072,,,,Fishing Vessel,Lift nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07 - ,,,
True,LIAO YUAN YU 9,,,,Fishing Vessel,Lift nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07 - ,,,
True,LILA NO. 10,Lila No. 10,,,,,Panama,,,,,,,,,,,,,,2006-11-26 - ,Vessels greater than 24m not included in ICCAT Record of Vessels. Seen fishing in the MED during closed season,,,,,,,,,,,,,,,,,,,2017-05 - ,,,,,
True,LIMPOPO,Limpopo,7388267,,Fishing Vessel,,Unknown,5VRS4,,555.000,0,51.000,197412,6.150,"Santodomingo S.A., Construcciones Navale (Vigo , Spain), Spain",Grupo Oya Perez SL,Grupo Oya Perez SL,In Service/commission,,,,,,,,,2003-11-07 - ,Inside Division 58.4.3b; Fishing inside Division 58.4.3b: 58.4.3b; Inside Division 58.5.1; Fishing inside Division 58.5.2,2007-10-31 - ,,,,,,,,,,,,2014-05 - ,,,,,
False,LINGSAR 08,Lingsar 08,,,Fishing Vessel,Longline,Indonesia,,,72.000,,19.720,,1.800,,Mr Nurwahid,,,2010-03-05 - 2011-03-22,Contravention of IOTC Resolution 09/03,,,,,,,,,,,,,,,,,,,,,,,,,,
False,LIVADIA,Thorgull,8209078,086,Cargo vessel,,Slovakia,OMRB,,6127.000,6325,145.580,198302,10.520,"Group, Japan",Red Ruby Trading Ltd,Seatraffic Ltd,Broken Up,,,,,,,,,,,2007-10-31 - 2007-12-21,,,,2006-10-24 - 2007-11-16,,2007-02-18 - 2007-12-21,,,,,,,,,,,
